job_group,badge,company_name,title,deadline,address_main,address_total,experience,education,employment_type,salary,tech_stack,createdAt,crawledAt,url,description
영업기획,,(주)세스코,(주)세스코 전문영업직 신입 채용 - 충남(천안/아산/당진 등),2024-12-15 23:59:59,충남,충남 아산시,신입,대졸↑,정규직,회사내규에 따름,영업기획|영업|영업관리|영업전략|영업지원,수정일 24/11/12,2024-12-10 02:50:53,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49386058,
회계담당자,,(주)메이븐앤컴퍼니,[ERP경험자우대/SK계열사/신입가능](광고) 비용 정산(매입/매출),2024-12-13 23:59:59,서울,서울 관악구,경력무관,고졸↑,계약직,회사내규에 따름,경리|경리사무원|세무회계|원가관리|ERP,수정일 24/12/05,2024-12-10 02:48:18,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49478849,
네트워크 엔지니어,연봉상승률 10% 이상,(주)호스트365,시스템엔지니어(서버/백업/네트워크 등) 채용공고 (신입/경력),2024-12-27 23:59:59,경기,경기 성남시 분당구,경력무관,고졸↑,정규직,회사내규에 따름,SE(시스템엔지니어)|네트워크|네트워크영업|Linux|유지보수,등록일 24/10/28,2024-12-10 02:47:49,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49282900,
회계담당자,회계·세무·재무 조회 급상승,현대옥프랜차이즈,현대옥프랜차이즈회계담당자채용 (경력직),2024-12-11 23:59:59,전북,전북 전주시 완산구,경력,초대졸↑,정규직,회사내규에 따름,경리|관리회계|기업회계|법인결산|법인세신고,등록일 24/11/28,2024-12-10 02:48:18,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489218,
클라우드 엔지니어,인기있는,켄코아에어로스페이스(주),ERP 개발 및 유지/ 전산 관리원 모집 공고,상시채용,경남,경남 사천시,신입·경력,초대졸↑,정규직,회사내규에 따름,SE(시스템엔지니어)|네트워크|인프라|솔루션|Java,수정일 24/12/05,2024-12-10 02:47:42,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49533939,
콘텐츠 마케터,연봉상승률 10% 이상,(주)엠비제트컴퍼니,[(주)엠비제트컴퍼니] 2024년 홍보마케팅 경력직 채용공고,2024-12-15 23:59:59,서울,서울 종로구,경력7년↑,학력무관,정규직,회사내규에 따름,공연기획|공연예술|작가|뮤지컬|일본어,등록일 24/11/27,2024-12-10 02:49:18,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49482713,
SNS마케터,연봉상승률 15% 이상,(주)태주산업,태주산업 디지털 마케팅 담당 모집,2024-12-22 23:59:59,경기,경기 구리시,신입·경력,학력무관,정규직,회사내규에 따름,블로그마케팅|광고마케팅|디지털마케팅|바이럴마케팅|검색광고,수정일 24/12/03,2024-12-10 02:49:26,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49438375,
사업기획,연봉상승률 20% 이상,(주)쇼골프,[쇼골프] 골프스윙분석기(런치모니터) 경력직 모집(2명),2024-12-14 23:59:59,서울,서울 강서구,경력 4~15년,학력무관,정규직,회사내규에 따름,기획|마케팅|영업관리|영업지원|영업마케팅,등록일 24/11/14,2024-12-10 02:48:51,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49398909,
퍼포먼스마케팅,급성장중,(주)원모아파트너,[경력무관] 원모아 의료 플랫폼 B2B 기업제휴/ 제휴영업,2024-12-31 23:59:59,서울,서울 서초구,경력무관,초대졸↑,정규직,회사내규에 따름,마케팅|바이럴마케팅|영업관리|영업직|광고영업,등록일 24/11/25,2024-12-10 02:49:06,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49464403,
UI디자이너,시리즈A 투자유치,(주)문토,[시리즈A투자유치/문토] 백엔드 Node.js 개발자 (시니어),상시채용,서울,서울 강남구,경력7년↑,대졸↑,정규직,회사내규에 따름,백엔드/서버개발|앱개발|개발PM|프론트엔드|인프라,수정일 24/11/28,2024-12-10 02:49:43,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49395053,
